Herb Name,Botanical Name,Common Uses,Active Compounds,Preparation Form,Health Conditions Treated,Dosage,Side Effects,Interactions,Region Origin
Bitter Leaf Variant-8700,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",5–8g/day,None known,May interact with blood thinners,Asia
Bitter Leaf Variant-8701,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",3–6g/day,Dizziness,Avoid with laxatives,Middle East
Hibiscus Variant-8702,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,2–7g/day,None known,Enhances anticoagulants,Africa
Neem Variant-8703,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",3–7g/day,Liver stress (overdose),None known,Asia
Neem Variant-8704,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",2–9g/day,Dizziness,Enhances anticoagulants,Asia
Neem Variant-8705,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",4–8g/day,Dizziness,Avoid with laxatives,India
Scent Leaf Variant-8706,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",2–6g/day,Stomach upset,Avoid with laxatives,Africa
Hibiscus Variant-8707,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,2–7g/day,Stomach upset,Avoid with laxatives,India
Aloe Vera Variant-8708,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",2–6g/day,Liver stress (overdose),Avoid with diabetes drugs,Asia
Scent Leaf Variant-8709,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",2–6g/day,Dizziness,None known,Africa
Aloe Vera Variant-8710,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",5–8g/day,Liver stress (overdose),May interact with blood thinners,India
Bitter Leaf Variant-8711,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",5–6g/day,None known,Avoid with diabetes drugs,Africa
Clove Variant-8712,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",2–7g/day,None known,May interact with blood thinners,South America
Moringa Variant-8713,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",4–7g/day,Liver stress (overdose),Enhances anticoagulants,Europe
Neem Variant-8714,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",5–7g/day,None known,None known,Middle East
Turmeric Variant-8715,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",1–9g/day,None known,Avoid with laxatives,Asia
Clove Variant-8716,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",3–10g/day,None known,Avoid with laxatives,South America
Ginger Variant-8717,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",5–8g/day,None known,Enhances anticoagulants,South America
Aloe Vera Variant-8718,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",1–7g/day,None known,Enhances anticoagulants,Middle East
Neem Variant-8719,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",3–10g/day,None known,Avoid with diabetes drugs,Asia
Neem Variant-8720,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",1–8g/day,None known,Avoid with diabetes drugs,Asia
Garlic Variant-8721,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",2–6g/day,None known,Enhances anticoagulants,Middle East
Clove Variant-8722,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",1–6g/day,Liver stress (overdose),Avoid with diabetes drugs,Middle East
Ginger Variant-8723,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",1–7g/day,Stomach upset,Enhances anticoagulants,Asia
Neem Variant-8724,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",1–8g/day,None known,Enhances anticoagulants,Africa
Neem Variant-8725,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",2–10g/day,Dizziness,Enhances anticoagulants,Africa
Bitter Leaf Variant-8726,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",3–6g/day,None known,Enhances anticoagulants,Asia
Aloe Vera Variant-8727,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",4–8g/day,None known,Avoid with diabetes drugs,Africa
Clove Variant-8728,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",5–9g/day,Dizziness,May interact with blood thinners,India
Garlic Variant-8729,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",4–9g/day,Stomach upset,Avoid with laxatives,Africa
Bitter Leaf Variant-8730,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",4–10g/day,Mild heartburn,Enhances anticoagulants,South America
Neem Variant-8731,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",1–10g/day,Mild heartburn,May interact with blood thinners,South America
Aloe Vera Variant-8732,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",2–6g/day,Liver stress (overdose),Avoid with diabetes drugs,South America
Hibiscus Variant-8733,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,3–8g/day,Liver stress (overdose),None known,South America
Aloe Vera Variant-8734,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",1–9g/day,Mild heartburn,Avoid with laxatives,India
Garlic Variant-8735,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",3–6g/day,Dizziness,Avoid with diabetes drugs,Africa
Scent Leaf Variant-8736,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",1–8g/day,Mild heartburn,May interact with blood thinners,India
Hibiscus Variant-8737,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,1–10g/day,None known,Avoid with diabetes drugs,Middle East
Scent Leaf Variant-8738,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",3–6g/day,Stomach upset,Avoid with diabetes drugs,Africa
Ginger Variant-8739,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",1–8g/day,Liver stress (overdose),Avoid with diabetes drugs,India
Scent Leaf Variant-8740,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",5–6g/day,None known,May interact with blood thinners,Europe
Clove Variant-8741,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",4–10g/day,Mild heartburn,Avoid with laxatives,Asia
Garlic Variant-8742,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",1–7g/day,Stomach upset,Avoid with laxatives,Africa
Garlic Variant-8743,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",3–8g/day,Stomach upset,Enhances anticoagulants,South America
Aloe Vera Variant-8744,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",4–10g/day,Stomach upset,None known,India
Garlic Variant-8745,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",5–6g/day,None known,Enhances anticoagulants,Asia
Moringa Variant-8746,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",5–7g/day,None known,May interact with blood thinners,South America
Garlic Variant-8747,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",3–6g/day,Stomach upset,Avoid with diabetes drugs,Africa
Hibiscus Variant-8748,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,1–8g/day,Liver stress (overdose),None known,Europe
Clove Variant-8749,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",2–7g/day,Liver stress (overdose),None known,Middle East
Scent Leaf Variant-8750,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",4–6g/day,Stomach upset,May interact with blood thinners,Africa
Moringa Variant-8751,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",4–8g/day,Dizziness,May interact with blood thinners,Europe
Ginger Variant-8752,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",2–6g/day,Stomach upset,None known,Europe
Garlic Variant-8753,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",3–7g/day,Liver stress (overdose),Avoid with diabetes drugs,India
Aloe Vera Variant-8754,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",2–10g/day,Liver stress (overdose),May interact with blood thinners,Middle East
Hibiscus Variant-8755,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,4–9g/day,Stomach upset,Avoid with diabetes drugs,Asia
Scent Leaf Variant-8756,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",4–9g/day,Liver stress (overdose),May interact with blood thinners,South America
Clove Variant-8757,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",4–9g/day,Mild heartburn,None known,Africa
Scent Leaf Variant-8758,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",5–10g/day,None known,Avoid with diabetes drugs,India
Hibiscus Variant-8759,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,1–7g/day,Stomach upset,Enhances anticoagulants,Middle East
Turmeric Variant-8760,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",3–9g/day,Stomach upset,Avoid with laxatives,India
Ginger Variant-8761,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",2–10g/day,None known,May interact with blood thinners,Asia
Hibiscus Variant-8762,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,1–7g/day,Dizziness,None known,Europe
Moringa Variant-8763,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",3–8g/day,Mild heartburn,None known,Africa
Aloe Vera Variant-8764,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",3–9g/day,Mild heartburn,Avoid with diabetes drugs,Asia
Garlic Variant-8765,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",5–10g/day,Stomach upset,May interact with blood thinners,Europe
Aloe Vera Variant-8766,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",2–6g/day,Stomach upset,Enhances anticoagulants,Africa
Ginger Variant-8767,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",2–8g/day,Liver stress (overdose),Enhances anticoagulants,Middle East
Moringa Variant-8768,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",1–10g/day,Dizziness,Avoid with laxatives,Africa
Clove Variant-8769,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",4–6g/day,Stomach upset,Avoid with diabetes drugs,Europe
Turmeric Variant-8770,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",4–7g/day,Dizziness,May interact with blood thinners,South America
Ginger Variant-8771,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",2–10g/day,Dizziness,None known,Europe
Aloe Vera Variant-8772,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",1–8g/day,Mild heartburn,May interact with blood thinners,Middle East
Ginger Variant-8773,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",1–8g/day,None known,Enhances anticoagulants,South America
Ginger Variant-8774,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",2–9g/day,Stomach upset,Enhances anticoagulants,Africa
Scent Leaf Variant-8775,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",5–6g/day,Stomach upset,May interact with blood thinners,Middle East
Hibiscus Variant-8776,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,5–9g/day,None known,Avoid with laxatives,Middle East
Clove Variant-8777,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",4–8g/day,Liver stress (overdose),Enhances anticoagulants,Europe
Garlic Variant-8778,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",2–8g/day,Mild heartburn,Avoid with laxatives,India
Scent Leaf Variant-8779,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",2–6g/day,Dizziness,Avoid with diabetes drugs,Middle East
Clove Variant-8780,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",5–9g/day,Mild heartburn,Avoid with diabetes drugs,Asia
Clove Variant-8781,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",3–10g/day,Stomach upset,None known,Asia
Scent Leaf Variant-8782,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",2–7g/day,Stomach upset,Avoid with laxatives,Europe
Bitter Leaf Variant-8783,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",2–7g/day,None known,Avoid with laxatives,Middle East
Turmeric Variant-8784,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",4–8g/day,Stomach upset,Avoid with diabetes drugs,Asia
Scent Leaf Variant-8785,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",2–10g/day,Mild heartburn,May interact with blood thinners,Asia
Hibiscus Variant-8786,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,2–10g/day,None known,Avoid with laxatives,South America
Aloe Vera Variant-8787,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",3–6g/day,Liver stress (overdose),Avoid with laxatives,Europe
Clove Variant-8788,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",2–7g/day,Liver stress (overdose),Enhances anticoagulants,Europe
Bitter Leaf Variant-8789,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",1–7g/day,Liver stress (overdose),May interact with blood thinners,Europe
Turmeric Variant-8790,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",3–6g/day,Liver stress (overdose),None known,Africa
Garlic Variant-8791,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",4–8g/day,Mild heartburn,None known,Africa
Scent Leaf Variant-8792,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",1–8g/day,Liver stress (overdose),None known,Africa
